0/8600 (epoch 0), train_loss = 9.539, time/batch = 1.391
6000/8600 (epoch 34), train_loss = 1.812, time/batch = 1.424
model saved to save/model.ckpt
6050/8600 (epoch 35), train_loss = 2.274, time/batch = 1.417
6100/8600 (epoch 35), train_loss = 2.060, time/batch = 1.428
6150/8600 (epoch 35), train_loss = 1.990, time/batch = 1.440
6200/8600 (epoch 36), train_loss = 2.286, time/batch = 1.418
6250/8600 (epoch 36), train_loss = 2.088, time/batch = 1.423
6300/8600 (epoch 36), train_loss = 2.168, time/batch = 1.426
6350/8600 (epoch 36), train_loss = 1.624, time/batch = 1.421
6400/8600 (epoch 37), train_loss = 2.403, time/batch = 1.424
6450/8600 (epoch 37), train_loss = 1.872, time/batch = 1.421
6500/8600 (epoch 37), train_loss = 2.157, time/batch = 1.417
6550/8600 (epoch 38), train_loss = 2.076, time/batch = 1.432
6600/8600 (epoch 38), train_loss = 2.371, time/batch = 1.425
6650/8600 (epoch 38), train_loss = 1.816, time/batch = 1.417
6700/8600 (epoch 38), train_loss = 1.512, time/batch = 1.421
6750/8600 (epoch 39), train_loss = 2.161, time/batch = 1.433
6800/8600 (epoch 39), train_loss = 1.850, time/batch = 1.418
6850/8600 (epoch 39), train_loss = 2.014, time/batch = 1.420
6900/8600 (epoch 40), train_loss = 2.080, time/batch = 1.419
6950/8600 (epoch 40), train_loss = 1.849, time/batch = 1.427
7000/8600 (epoch 40), train_loss = 1.765, time/batch = 1.422
model saved to save/model.ckpt
7050/8600 (epoch 40), train_loss = 1.843, time/batch = 1.417
7100/8600 (epoch 41), train_loss = 1.654, time/batch = 1.416
7150/8600 (epoch 41), train_loss = 2.002, time/batch = 1.413
7200/8600 (epoch 41), train_loss = 1.571, time/batch = 1.426
7250/8600 (epoch 42), train_loss = 1.913, time/batch = 1.439
7300/8600 (epoch 42), train_loss = 1.770, time/batch = 1.424
7350/8600 (epoch 42), train_loss = 1.837, time/batch = 1.418
7400/8600 (epoch 43), train_loss = 1.743, time/batch = 1.420
7450/8600 (epoch 43), train_loss = 1.748, time/batch = 1.431
7500/8600 (epoch 43), train_loss = 1.623, time/batch = 1.433
7550/8600 (epoch 43), train_loss = 1.500, time/batch = 1.421
7600/8600 (epoch 44), train_loss = 2.017, time/batch = 1.418
7650/8600 (epoch 44), train_loss = 1.595, time/batch = 1.566
7700/8600 (epoch 44), train_loss = 1.431, time/batch = 1.466
7750/8600 (epoch 45), train_loss = 1.770, time/batch = 1.444
7800/8600 (epoch 45), train_loss = 2.055, time/batch = 1.448
7850/8600 (epoch 45), train_loss = 1.511, time/batch = 1.450
7900/8600 (epoch 45), train_loss = 1.579, time/batch = 1.444
7950/8600 (epoch 46), train_loss = 2.051, time/batch = 1.453
8000/8600 (epoch 46), train_loss = 1.383, time/batch = 1.448
model saved to save/model.ckpt
8050/8600 (epoch 46), train_loss = 1.543, time/batch = 1.564
8100/8600 (epoch 47), train_loss = 1.810, time/batch = 1.445
8150/8600 (epoch 47), train_loss = 1.668, time/batch = 1.441
8200/8600 (epoch 47), train_loss = 1.434, time/batch = 1.448
8250/8600 (epoch 47), train_loss = 1.235, time/batch = 1.456
8300/8600 (epoch 48), train_loss = 1.681, time/batch = 1.444
8350/8600 (epoch 48), train_loss = 1.493, time/batch = 1.449
8400/8600 (epoch 48), train_loss = 1.370, time/batch = 1.453
8450/8600 (epoch 49), train_loss = 1.887, time/batch = 1.441
8500/8600 (epoch 49), train_loss = 1.904, time/batch = 1.680
8550/8600 (epoch 49), train_loss = 1.474, time/batch = 1.445
model saved to save/model.ckpt

